id,date,time,milli sec,timestamp1,l_fm_odg_spab11,d_ffb_cfb,d_ffb_ltf,l_fm_odg_ffbmps,steelidtotal,type
231,2019-5-10,18:57:26,250,1557514646,1,997,548,22.159706,2019-05-10 08:25:18 NO405,
232,2019-5-10,18:57:26,500,1557514647,1,1017,548,22.159706,2019-05-10 08:25:18 NO405,
233,2019-5-10,18:57:26,750,1557514647,1,1002,549,22.159706,2019-05-10 08:25:18 NO405,
234,2019-5-10,18:57:27,0,1557514647,1,1010,549,22.158497,2019-05-10 08:25:18 NO405,
235,2019-5-10,18:57:27,250,1557514647,1,1014,548,22.159706,2019-05-10 08:25:18 NO405,
236,2019-5-10,18:57:27,500,1557514648,1,1034,547,22.160913,2019-05-10 08:25:18 NO405,
237,2019-5-10,18:57:27,750,1557514648,1,999,548,22.160913,2019-05-10 08:25:18 NO405,
238,2019-5-10,18:57:28,0,1557514648,1,1008,549,22.158497,2019-05-10 08:25:18 NO405,
239,2019-5-10,18:57:28,250,1557514648,1,1003,548,22.159706,2019-05-10 08:25:18 NO405,
240,2019-5-10,18:57:28,500,1557514649,1,995,549,22.160913,2019-05-10 08:25:18 NO405,
241,2019-5-10,18:57:28,750,1557514649,1,999,548,22.162121,2019-05-10 08:25:18 NO405,
242,2019-5-10,18:57:29,0,1557514649,1,1012,548,22.159706,2019-05-10 08:25:18 NO405,
243,2019-5-10,18:57:29,250,1557514649,1,1002,548,22.15729,2019-05-10 08:25:18 NO405,
244,2019-5-10,18:57:29,500,1557514650,1,1001,549,22.160913,2019-05-10 08:25:18 NO405,
245,2019-5-10,18:57:29,750,1557514650,1,1014,550,22.159706,2019-05-10 08:25:18 NO405,
246,2019-5-10,18:57:30,0,1557514650,1,998,549,22.159706,2019-05-10 08:25:18 NO405,
247,2019-5-10,18:57:30,250,1557514650,1,1012,551,22.162121,2019-05-10 08:25:18 NO405,
248,2019-5-10,18:57:30,500,1557514651,1,1016,550,22.15729,2019-05-10 08:25:18 NO405,
249,2019-5-10,18:57:30,750,1557514651,1,1006,551,22.158497,2019-05-10 08:25:18 NO405,
250,2019-5-10,18:57:31,0,1557514651,1,1028,553,22.160913,2019-05-10 08:25:18 NO405,
251,2019-5-10,18:57:31,250,1557514651,1,1020,554,22.159706,2019-05-10 08:25:18 NO405,
252,2019-5-10,18:57:31,500,1557514652,1,1009,557,22.159706,2019-05-10 08:25:18 NO405,
253,2019-5-10,18:57:31,750,1557514652,1,1003,559,22.159706,2019-05-10 08:25:18 NO405,
254,2019-5-10,18:57:32,0,1557514652,1,1021,558,22.158497,2019-05-10 08:25:18 NO405,
255,2019-5-10,18:57:32,250,1557514652,1,1020,556,22.159706,2019-05-10 08:25:18 NO405,
256,2019-5-10,18:57:32,500,1557514653,1,1009,554,22.160913,2019-05-10 08:25:18 NO405,
257,2019-5-10,18:57:32,750,1557514653,1,1014,550,22.160913,2019-05-10 08:25:18 NO405,
258,2019-5-10,18:57:33,0,1557514653,1,1009,550,22.158497,2019-05-10 08:25:18 NO405,
259,2019-5-10,18:57:33,250,1557514653,1,995,548,22.158497,2019-05-10 08:25:18 NO405,
260,2019-5-10,18:57:33,500,1557514654,1,994,547,22.162121,2019-05-10 08:25:18 NO405,
261,2019-5-10,18:57:33,750,1557514654,1,992,547,22.159706,2019-05-10 08:25:18 NO405,
262,2019-5-10,18:57:34,0,1557514654,1,981,547,22.160913,2019-05-10 08:25:18 NO405,
263,2019-5-10,18:57:34,250,1557514654,1,994,547,22.158497,2019-05-10 08:25:18 NO405,
264,2019-5-10,18:57:34,500,1557514655,1,990,548,22.159706,2019-05-10 08:25:18 NO405,
265,2019-5-10,18:57:34,750,1557514655,1,1005,546,22.159706,2019-05-10 08:25:18 NO405,
266,2019-5-10,18:57:35,0,1557514655,1,996,547,22.162121,2019-05-10 08:25:18 NO405,
267,2019-5-10,18:57:35,250,1557514655,1,1019,547,22.159706,2019-05-10 08:25:18 NO405,
268,2019-5-10,18:57:35,500,1557514656,1,988,546,22.160913,2019-05-10 08:25:18 NO405,
269,2019-5-10,18:57:35,750,1557514656,1,1018,547,22.158497,2019-05-10 08:25:18 NO405,
270,2019-5-10,18:57:36,0,1557514656,1,990,545,22.159706,2019-05-10 08:25:18 NO405,
271,2019-5-10,18:57:36,250,1557514656,1,998,545,22.162121,2019-05-10 08:25:18 NO405,
272,2019-5-10,18:57:36,500,1557514657,1,986,545,22.160913,2019-05-10 08:25:18 NO405,
273,2019-5-10,18:57:36,750,1557514657,1,996,546,22.159706,2019-05-10 08:25:18 NO405,
274,2019-5-10,18:57:37,0,1557514657,1,998,545,22.15729,2019-05-10 08:25:18 NO405,
275,2019-5-10,18:57:37,250,1557514657,1,982,547,22.158497,2019-05-10 08:25:18 NO405,
276,2019-5-10,18:57:37,500,1557514658,1,1009,547,22.160913,2019-05-10 08:25:18 NO405,
277,2019-5-10,18:57:37,750,1557514658,1,1010,547,22.160913,2019-05-10 08:25:18 NO405,
278,2019-5-10,18:57:38,0,1557514658,1,1002,548,22.159706,2019-05-10 08:25:18 NO405,
279,2019-5-10,18:57:38,250,1557514658,1,1006,549,22.15729,2019-05-10 08:25:18 NO405,
280,2019-5-10,18:57:38,500,1557514659,1,1015,550,22.158497,2019-05-10 08:25:18 NO405,
281,2019-5-10,18:57:38,750,1557514659,1,994,551,22.15729,2019-05-10 08:25:18 NO405,
